date,avg_price,open_price,max_price,min_prie,close_price,last_price,coef,lsp,change,buys,sells,deals,number,volume,currency,ISIN
2023-05-04,4.69954561,4.698,4.702,4.696,4.704,4.7,1,4.7,-0.09,4.7,4.7,405.0,66397.0,312035.73,EUR,EE3100137985
2023-05-05,4.70117951,4.7,4.716,4.69,4.7,4.714,1,4.714,0.3,4.714,4.714,476.0,56622.0,266190.186,EUR,EE3100137985
2023-05-08,4.75558489,4.718,4.81,4.718,4.714,4.804,1,4.804,1.91,4.804,4.804,581.0,64831.0,308309.324,EUR,EE3100137985
2023-05-09,4.82435945,4.806,4.848,4.802,4.804,4.822,1,4.822,0.37,4.822,4.822,525.0,44434.0,214365.588,EUR,EE3100137985
2023-05-10,4.829924,4.832,4.846,4.82,4.822,4.84,1,4.84,0.37,4.84,4.84,435.0,29212.0,141091.74,EUR,EE3100137985
2023-05-11,4.83876899,4.82,4.88,4.816,4.84,4.834,1,4.834,-0.12,4.834,4.834,616.0,69260.0,335133.14,EUR,EE3100137985
2023-05-12,4.8438097,4.836,4.868,4.81,4.834,4.86,1,4.86,0.54,4.86,4.86,568.0,26096.0,126404.058,EUR,EE3100137985
2023-05-15,4.85933799,4.86,4.888,4.84,4.86,4.846,1,4.846,-0.29,4.846,4.846,567.0,85841.0,417130.432,EUR,EE3100137985
2023-05-16,4.83109865,4.846,4.86,4.82,4.846,4.822,1,4.822,-0.5,4.822,4.822,582.0,88097.0,425605.298,EUR,EE3100137985
2023-05-17,4.80280989,4.822,4.828,4.78,4.822,4.79,1,4.79,-0.66,4.79,4.79,558.0,39892.0,191593.692,EUR,EE3100137985
2023-05-19,4.77457739,4.79,4.79,4.76,4.79,4.766,1,4.766,-0.5,4.766,4.766,583.0,57393.0,274027.32,EUR,EE3100137985
2023-05-22,4.70835688,4.76,4.766,4.68,4.766,4.708,1,4.708,-1.22,4.708,4.708,748.0,69878.0,329010.562,EUR,EE3100137985
2023-05-23,4.71806903,4.708,4.74,4.708,4.708,4.72,1,4.72,0.25,4.72,4.72,358.0,34478.0,162669.584,EUR,EE3100137985
2023-05-24,4.65326621,4.702,4.71,4.612,4.72,4.63,1,4.63,-1.91,4.63,4.63,871.0,101656.0,473032.43,EUR,EE3100137985
2023-05-25,4.57687319,4.61,4.618,4.54,4.63,4.566,1,4.566,-1.38,4.566,4.566,981.0,99225.0,454140.242,EUR,EE3100137985
2023-05-26,4.60479303,4.566,4.658,4.55,4.566,4.658,1,4.658,2.01,4.658,4.658,534.0,67117.0,309059.894,EUR,EE3100137985
2023-05-29,4.69120692,4.666,4.71,4.666,4.658,4.686,1,4.686,0.6,4.686,4.686,453.0,48454.0,227307.74,EUR,EE3100137985
2023-05-30,4.7006063,4.69,4.73,4.684,4.686,4.728,1,4.728,0.9,4.722,4.726,396.0,64513.0,303250.214,EUR,EE3100137985
2023-05-31,4.7877599,4.73,4.84,4.73,4.728,4.84,1,4.84,2.37,4.84,4.84,591.0,94196.0,450987.832,EUR,EE3100137985
2023-06-01,4.792806,4.8,4.8,4.766,4.84,4.8,1,4.8,-0.83,4.8,4.8,496.0,59908.0,287127.422,EUR,EE3100137985
2023-06-02,4.7960892,4.79,4.81,4.788,4.8,4.794,1,4.794,-0.13,4.794,4.794,479.0,66549.0,319174.94,EUR,EE3100137985
2023-06-05,4.79195855,4.802,4.808,4.77,4.794,4.788,1,4.788,-0.13,4.788,4.788,584.0,48833.0,234005.712,EUR,EE3100137985
2023-06-06,4.75476955,4.786,4.788,4.74,4.788,4.752,1,4.752,-0.75,4.752,4.752,691.0,85024.0,404269.526,EUR,EE3100137985
2023-06-07,4.56753899,4.54,4.596,4.528,4.752,4.57,1,4.57,-3.83,4.57,4.57,1077.0,110888.0,506485.264,EUR,EE3100137985
2023-06-08,4.52799908,4.54,4.55,4.51,4.57,4.52,1,4.52,-1.09,4.52,4.52,842.0,69424.0,314351.808,EUR,EE3100137985
2023-06-09,4.5236027,4.518,4.532,4.514,4.52,4.528,1,4.528,0.18,4.528,4.528,457.0,29202.0,132098.246,EUR,EE3100137985
2023-06-12,4.46295147,4.526,4.526,4.424,4.528,4.444,1,4.444,-1.86,4.444,4.444,1003.0,86977.0,388174.13,EUR,EE3100137985
2023-06-13,4.46421401,4.48,4.48,4.45,4.444,4.45,1,4.45,0.14,4.45,4.45,480.0,57465.0,256536.058,EUR,EE3100137985
