station_name,station_id
ALEXANDROS PAPADIAMANTIS,166653-99999
MITILINI,166670-99999
LAMIA,166750-99999
ANDRAVIDA,166820-99999
SKIROS,166840-99999
KEFALLINIA,166850-99999
ARAXOS,166870-99999
TANAGRA,166990-99999
CHIOS,167060-99999
TRIPOLIS,167100-99999
ATHINAI,167160-99999
ELEFTHERIOS VENIZELOS INTL,167161-99999
ELEFSIS,167180-99999
DIONYSIOS SOLOMOS,167193-99999
SAMOS,167230-99999
KALAMATA,167260-99999
MIKONOS,167263-99999
SYROS,167264-99999
NAXOS,167320-99999
METHONI,167340-99999
CYCLADES ISLANDS,167341-99999
MILOS,167380-99999
KOS,167420-99999
KITHIRA,167430-99999
SANTORINI,167443-99999
SOUDA,167460-99999
SOUDA BAY CRETE,167464-33209
DIAGORAS,167490-99999
NIKOS KAZANTZAKIS,167540-99999
KARPATHOS,167543-99999
BARTIN,170200-99999
ZONGULDAK,170220-99999
INEBOLU,170240-99999
SINOP,170260-99999
SAMSUN,170300-99999
CARSAMBA,170310-99999
GIRESUN,170340-99999
TRABZON,170380-99999
HOPA,170420-99999
EDIRNE,170500-99999
CORLU,170540-99999
TEKIRDAG,170560-99999
ATATURK,170600-99999
SABIHA GOKCEN,170630-99999
GOLCUK/DUMLUPINAR,170670-99999
ADAPAZARI,170690-99999
BOLU,170700-99999
KASTAMONU,170740-99999
CANKIRI,170800-99999
MERZIFON,170820-99999
CORUM,170840-99999
AMASYA,170850-99999
TOKAT,170860-99999
GUMUSHANE,170880-99999
SIVAS,170900-99999
ERZINCAN,170920-99999
ERZURUM,170960-99999
KARS,170980-99999
AGRI,170990-99999
IGDIR,171000-99999
GOKCEADA,171100-99999
CANAKKALE,171120-99999
BANDIRMA,171150-99999
BURSA,171160-99999
YENISEHIR,171180-99999
BILECIK,171200-99999
ESKISEHIR,171240-99999
AKINCI,171270-99999
ESENBOGA,171280-99999
ETIMESGUT,171290-99999
ANKARA/CENTRAL,171300-99999
GUVERCINLIK,171310-99999
KIRIKKALE,171350-99999
YOZGAT,171400-99999
EDREMIT KORFEZ,171450-99999
BALIKESIR,171500-99999
KUTAHYA,171550-99999
KIRSEHIR,171600-99999
VAN,171700-99999
AYVALIK,171750-99999
DIKILI,171800-99999
AKHISAR,171840-99999
MANISA,171860-99999
USAK,171880-99999
AFYON,171900-99999
KAPADOKYA,171940-99999
ERKILET,171950-99999
TULGA,171970-99999
ERHAC,172000-99999
TOPEL,172005-99999
ANADOLU,172006-99999
ELAZIG,172020-99999
BINGOL,172030-99999
SIIRT,172100-99999
CIGLI,172180-99999
ADNAN MENDERES,172190-99999
IZMIR/GUZELYALI,172200-99999
KUSADASI,172320-99999
AYDIN,172340-99999
DENIZLI,172370-99999
BURDUR,172380-99999
ISPARTA,172400-99999
SULEYMAN DEMIREL,172410-99999
KONYA,172440-99999
EREGLI/KONYA,172480-99999
NIGDE,172500-99999
KAHRAMANMARAS,172550-99999
OGUZELI,172600-99999
SANLIURFA,172700-99999
MARDIN,172750-99999
DIYARBAKIR,172800-99999
BATMAN,172820-99999
IMSIK,172900-99999
MILAS BODRUM,172910-99999
MUGLA,172920-99999
DALAMAN,172950-99999
FETHIYE,172960-99999
MARMARIS,172980-99999
ANTALYA,173000-99999
ANTALYA-BOLGE,173020-99999
ALANYA,173100-99999
ANAMUR,173200-99999
SILIFKE,173300-99999
MERSIN,173400-99999
INCIRLIK AB,173500-33308
ADANA,173520-99999
ISKENDERUN,173700-99999
FINIKE,173750-99999
GUZELYURT,175000-99999
LEFKE,175010-99999
AKDENIZ,175050-99999
GIRNE,175100-99999
LEFKOSA,175150-99999
ISKELE,175350-99999
GAZIMAGUSA,175400-99999
YENIERENKOY,175500-99999
PAFOS INTL,176000-99999
AKROTIRI,176010-99999
NICOSIA AIRFIELD,176060-99999
ERCAN,176074-99999
LARNACA,176090-99999
VIKTORIYA ISLAND,200260-99999
NAGURSKOYE,200340-99999
POLARGMO IM. E.T. KRENKELJA,200460-99999
TIKHAYA BAY,200490-99999
USHAKOVA ISLAND,200660-99999
OSTROV VIZE,200690-99999
MGMS IM. G.F. USHAKOVA,200870-99999
CAPE PESCHANIY,200970-99999
BARENTSBURG,201070-99999
KRASNOFLOTSKIYE ISL,201860-99999
MALYY TAYMIR ISLAND,201990-99999
OSTROV UEDINENIJA,202740-99999
ISACHENKO ISLAND,202770-99999
RUSSKIY ISLAND,202890-99999
SOLNECHNAYA BAY,202910-99999
GMO IM.E.K. FEDOROVA,202920-99999
GEYBERGA ISLAND,202940-99999
MYS ZHELANIYA,203530-99999
RUSSKAYA GAVAN',203570-99999
PRAVDY ISLAND,203880-99999
IZVESTIJ TSIK,204710-99999
MYS STERLEGOVA,204760-99999
LAKE TAJMYR,205940-99999
VILKICKOGO ISLAND,206650-99999
IM. M.V. POPOVA,206670-99999
OSTROV DIKSON,206740-99999
CAPE KASISTY,206960-99999
MALYE KARMAKULY,207440-99999
LESKINO,207660-99999
CAPE KHARASOVOY,208560-99999
TAMBEY,208640-99999
SOPOCHNAYA KARGA,208710-99999
HATANGA,208910-99999
CAPE MENSHIKOVA,209430-99999
IM E K FEDOROVA,209460-99999
GYDA,209630-99999
TADIBE-YAKHA,209640-99999
SEYAHA,209670-99999
KRESTI,209730-99999
ANDREYA ISLAND,213010-99999
ZOHOVA ISLAND,213580-99999
B. PRONCHISHCHEVOY,214050-99999
OSTROV KOTEL'NYJ,214320-99999
OSTROV PREOBRAZENIJ,215040-99999
SANNIKOVA,215350-99999
ZEMLYA BUNGE,215410-99999
CAPE TERPAY-TUMUS,216110-99999
DUNWAY ISLAND,216130-99999
ANTIPINSKIY,216270-99999
KIGILYAH,216360-99999
MYS SHALAUROVA,216470-99999
CAPE SVATOJ,217330-99999
TYUMYATI,218130-99999
TIKSI,218240-99999
MOSTAKH ISLAND,218250-99999
UEDEY,218350-99999
RUSSKOYE UST'YE,218490-99999
DZALINDA,306950-99999
KJUSJUR,219210-99999
JUBILEJNAJA,219310-99999
CHOKURDAH,219460-99999
ALAZEJA RIVER,219550-99999
OSTROV CHETYREHSTOLBOVOY,219650-99999
VAL' KARKAY,219780-99999
OSTROV VRANGELYA,219820-99999
VAIDA GUBA (BAY),220030-99999
TERIBERKA,220280-99999
PADUN,221060-99999
MURMANSK,221130-99999
LOVOZERO,221270-99999
CAPE CHERNIY,221450-99999
KANIN NOS,221650-99999
BUGRINO,221930-99999
APATITY,222130-99999
KANDALAKSHA,222170-99999
KRASNOSCEL'E,222350-99999
KANEVKA,222490-99999
MYS KONUSIN,222690-99999
SHOJNA,222710-99999
MYS MIKULKIN,222820-99999
INDIGA,222920-99999
UMBA,223240-99999
KASHKARANTSY,223340-99999
PJALICA,223490-99999
MORZHOVEC,223610-99999
ABRAMOVSKIJ MAJAK,223650-99999
NIZHNYAYA PESHA,223830-99999
KESTEN'GA,224030-99999
KALEVALA,224080-99999
GRIDINO,224220-99999
SOLOVKI,224290-99999
ZIZGIN,224380-99999
ZIMNEGORSKIJ MAJAK,224460-99999
KEPINO,224560-99999
MEZEN',224710-99999
MOSEEVO,224810-99999
KEM' PORT,225200-99999
KEM',225220-99999
RAZNAVOLOK,225250-99999
SEVERODVINSK,225460-99999
TALAGI,225500-99999
MUD'JUG,225510-99999
HOLMOGORY,225590-99999
PINEGA,225630-99999
LESUKONSKOE,225730-99999
KOJNAS,225830-99999
REBOLY,226020-99999
SEGEZA,226210-99999
ONEGA,226410-99999
TURCASOVO,226480-99999
EMECK,226560-99999
EMCA,226570-99999
KARPOGORY,226710-99999
SURA,226760-99999
KOSLAN,226950-99999
MEDVEZEGORSK,227210-99999
KONEVO,227490-99999
DVINSKIJ BEREZNIK,227620-99999
SHENKURSK,227680-99999
VERHNJAJA TOJMA,227780-99999
JARENSK,227980-99999
SORTAVALA,228020-99999
PETROZAVODSK,228200-99999
PUDOZ,228310-99999
VYTEGRA,228370-99999
KARGOPOL',228450-99999
NJANDOMA,228540-99999
VEL'SK,228670-99999
KOTLAS,228870-99999
VYBORG,228920-99999
BELOZERSK,229390-99999
VOZEGA,229540-99999
OB'JACEVO,229960-99999
AMADERMA,230220-99999
CAPE BELY,230240-99999
MARESALE,230320-99999
ANTIPAJUTA,230580-99999
DUDINKA,230740-99999
NORIL'SK,230780-99999
TOBSEDA,231050-99999
MYS KONSTANTINOVSKIJ,231140-99999
CAPE KAMENNYJ,231460-99999
POTAPOVO,231740-99999
SNEZHNOGORSK,231790-99999
NAR'JAN-MAR,232050-99999
HOSEDA-HARD,232190-99999
ROSCHINO,232204-99999
VORKUTA,232260-99999
NOVYJ PORT,232420-99999
TAZOVSKIJ,232560-99999
IGARKA,232740-99999
OKUNEV NOS,233050-99999
PETRUN',233240-99999
SALEHARD,233300-99999
RA-IZ,233310-99999
JAMBUR,233330-99999
POLUJ,233390-99999
JAR-SALE,233410-99999
NYDA,233450-99999
SIDOROVSK,233650-99999
KUREJKA RIVER,233750-99999
AGATA,233830-99999
UST'-CIL'MA,234050-99999
UST'-USA,360830-99999
PECHORA,234180-99999
MUZHI,234260-99999
PITLYAR,234310-99999
NADYM,234450-99999
YANOV-STAN,234630-99999
KRASNOSEL' KUPSK,234650-99999
NIZHNEVARTOVSK,234710-99999
TURUHANSK,234720-99999
BOLSOJ POROG,234840-99999
TEMBENCHI,234990-99999
IZHMA,235030-99999
SARAN-PAUL',235270-99999
TARKO-SALE,235520-99999
VERESHCHAGINO,235780-99999
TUTONCHANY,235890-99999
UHTA,236060-99999
SOSVA,236250-99999
SARTINYA,236280-99999
IGRIM,236290-99999
BEREZOVO,256560-99999
KISLOR WEST,236320-99999
YUIL' SK,236350-99999
NUMTO,236440-99999
HALESOVAYA,236560-99999
TOL'KA,236620-99999
VERHNEIMBATSK,236780-99999
UCAMI,236910-99999
KERBO,236990-99999
VESLJANA,237010-99999
TROICKO-PECHERSKOE,237110-99999
NJAKSIMVOL',237240-99999
OKTJABR'SKOE,237340-99999
KOCEVJE,237450-99999
KOGALYM,237480-99999
KELLOG,237740-99999
BAHTA,237760-99999
KUZ' MOVKA,237880-99999
POLIGUS,237890-99999
UST'-KULOM,238030-99999
SYKTYVKAR,238040-99999
JAKSHA,238120-99999
VONEGAN,238230-99999
BECAME STN 238281,238380-99999
GORSKOVA,238410-99999
YERMAKOVO,238430-99999
SYTOMINO,238470-99999
SURGUT,238490-99999
LOBCHINSKIYE,238590-99999
KORLIKI,238620-99999
LAR' YAK,238670-99999
BOR,238840-99999
BAJKIT,238910-99999
KAZIM,239040-99999
GAJNY,239090-99999
CHERDYN',239140-99999
IVDEL',239210-99999
SUPRA,239230-99999
SAIM,239290-99999
KHANTY MANSIYSK,239330-99999
ALTAY,510760-99999
UGUT,239460-99999
ALEKSANDROVSKOE,239550-99999
VANZIL'-KYNAK,239660-99999
VOROGOVO,239730-99999
SYM,239750-99999
VEL'MO,239820-99999
SEVERO-ENISEJSK,239860-99999
JARCEVO,239870-99999
UST'-KAMO,239920-99999
SIKTJAH,240510-99999
JANGKI-IN-YAKUT,240710-99999
ESSEJ,241050-99999
OLENEK,241250-99999
SUHANA,241360-99999
DZARDZAN,241430-99999
JANSK,241660-99999
DRUZINA,241970-99999
YAROL'IN,242190-99999
VERHOJANSK,242660-99999
POLIARNY,243220-99999
SHELAGONTSY,243290-99999
ZHIGANSK,243430-99999
UST'-CHARKI,243710-99999
ARGA,243960-99999
BESTYAHSKAYA ZVEROFERMA,244490-99999
IEMA,244770-99999
TURA,245070-99999
CHUMPURUK,245380-99999
SOGO-HAYA,245570-99999
SYURYUN-KYUYEL',245610-99999
NERA,245850-99999
DARPIR,245980-99999
SYULDYUKAR,246290-99999
NJURBA,246390-99999
VILJUJSK,246410-99999
HATYAYK-HOMO,246430-99999
SANGARY,246520-99999
BATAMAJ,246560-99999
SEGEN-KYUEL',246610-99999
VERHOJANSK PEREVOZ,246680-99999
TOMPO,246710-99999
VOSTOCHNAYA,246790-99999
OJMJAKON,246880-99999
DELYANKIR,246910-99999
NAKANNO,247130-99999
CHERNISHEVSKIJ,247240-99999
MIRNY,247260-99999
SUNTAR,247380-99999
CHAINGDA,247390-99999
CURAPCA,247680-99999
TEPLY KLJUCH,247710-99999
SUSUMAN,247900-99999
ERBOGACEN,248170-99999
DOROZHNYJ,248260-99999
TONGULAH,248430-99999
POKROVSK,248560-99999
OHOTSKIJPEREVOZ,248710-99999
ALLAH-JUN,248780-99999
UST' OMCHUG,248980-99999
VANAVARA,249080-99999
PREOBRAZHENKA,249180-99999
LENSK,249230-99999
OLEKMINSK,249440-99999
SANI-YAKHTAT,249460-99999
ISIT',249510-99999
JAKUTSK,249590-99999
AMGA,249620-99999
UST'-MAJYA,249660-99999
TEGYULTYA,249670-99999
UEGA,249820-99999
ARKA,249880-99999
PEVEK,250510-99999
CHERSKIJ,251230-99999
OSTROVNOE,251380-99999
CHAUN,251510-99999
MYS SHMIDTA,251730-99999
CREDNEKOLYMSK,252060-99999
ILIRNEJ,252480-99999
UST'-OLOJ,253250-99999
BAIMKA,253350-99999
EN' MUVEEM,253560-99999
AMGUJEMA,253720-99999
EGVEKINOT,253780-99999
MYS UELEN,253990-99999
ZYRYANKA,254000-99999
OMOLON,254280-99999
KANCHALAN,254690-99999
KORKODON,255030-99999
VERHNEE PENZINO,255380-99999
MARKOVO,255510-99999
UGOLNY,255630-99999
PROVIDENIYA BAY,255940-99999
KEDON,256210-99999
LABAZNAYA,256270-99999
SLAUTNOE,256480-99999
BERINGOVSKAJA,256770-99999
EL' GEN (SOVHOZ),257000-99999
SEJMCHAN,257030-99999
SREDNIKAN,257050-99999
OMSUKCHAN,257150-99999
KAMENSKOE,257440-99999
TALATA,258080-99999
PESTRAYA DRESVA,258160-99999
NAJAHAN,258210-99999
ATKA,259020-99999
MADAUN,259040-99999
SOKOL,259130-99999
ALEVINA (MYS),259160-99999
BRAT' EV (MYS),259190-99999
SHELIHOVA,259220-99999
BROHOVO,259270-99999
TAJGONOS,259320-99999
CHEMURNAUT,259410-99999
KORF,259540-99999
APUKA,259560-99999
PAKRI,260290-99999
TALLINN,260380-99999
KUNDA,260450-99999
JOHVI,260460-99999
NARVA-JOESUU,260580-99999
KINGISEPP,260590-99999
PULKOVO,260630-99999
SMOLNAYA,260635-99999
LJUBAN',260780-99999
TIHVIN,260940-99999
MINSK 2,261148-99999
RISTNA,261150-99999
KARDLA,261160-99999
KURESSAARE,261161-99999
LAANE-NIGULA,261240-99999
VIRTSU,261280-99999
KUUSIKU,261340-99999
TURI,261350-99999
VALKE-MAARJA,261410-99999
JOGEVA,261440-99999
TILRIKOJA,261450-99999
NIKOLAEVSKOE,261670-99999
VILSANDI,262140-99999
SORVE,262180-99999
KIHNU,262260-99999
RUHNU,262270-99999
AINAZI,262290-99999
PJARNU-SAUGA,262310-99999
VILJANDI,262330-99999
TARTU,262420-99999
VALGA,262470-99999
VORU,262490-99999
PSKOV,262580-99999
STARAYA RUSSA,262750-99999
BOLOGOE,262980-99999
KOLKA,263130-99999
MERSRAGS,263240-99999
GULBENE,263480-99999
PUSKINSKIE GORY,263590-99999
HOLM,263780-99999
OSTASKOV,263890-99999
PAVILOSTA,264030-99999
VENTSPILS,264050-99999
LIEPAJA INTL,264060-99999
SALDUS,264160-99999
RIGA,264220-99999
BAUSKA,264290-99999
SKRIVERI,264350-99999
ZILANI,264360-99999
VELIKIE LUKI,264770-99999
RZEV,264980-99999
STARITSA,264990-99999
PALANGA INTL,265020-99999
SIAULIAI INTL,265021-99999
KLAIPEDA,265090-99999
LAUKUVA,265180-99999
SIAULIAI,265240-99999
BIRZAI,265310-99999
DAUGAVPILS,265440-99999
VERHNEDVINSK,265540-99999
BELYJ,265850-99999
KAUNAS,266290-99999
KAUNAS INTL,266295-99999
UTENA,266330-99999
SHARCOVSCHINA,266430-99999
LYNTUPY,266450-99999
POLOTSK,266530-99999
DOKSHITSY,266570-99999
LEPEL,266590-99999
VITEBSK,266660-99999
GRODNO,268250-99999
VJAZ'MA,266950-99999
KHRABROVO,267020-99999
VILNIUS INTL,267300-99999
BORISOV,267590-99999
ORSHA,267630-99999
SMOLENSK,267810-99999
SPAS-DEMENSK,267950-99999
LIDA,268320-99999
MINSK 1,268500-99999
BEREZINO,268530-99999
MARIYNA GORKA,268550-99999
MOGILEV,268630-99999
KLICHEV,268640-99999
SLAVGOROD,299150-99999
ROSLAVL',268820-99999
KOSTUCKOVICHI,268870-99999
ZUKOVKA,268940-99999
BRYANSK,268980-99999
BARANOVICHI,269410-99999
SLUTSK,269510-99999
BOBRUISK,269610-99999
ZHLOBIN,269660-99999
TRUBCHEVSK,269970-99999
VOLOGDA,270370-99999
TOTMA,270510-99999
NIKOL'SK,270660-99999
OPARINO,270830-99999
CHEREPOVEC,271130-99999
KIROV,271960-99999
MAKSATIKHA,272080-99999
BEZECK,272170-99999
RYBINSK,272250-99999
BUJ,272420-99999
NIKOLO-POLOMA,272520-99999
SAR'JA,272710-99999
KUMENY,272960-99999
KASIN,273160-99999
ROSTOV,273290-99999
KOSTROMA,273330-99999
IVANOVO,273470-99999
JUR'EVEC,273550-99999
KRASNYE BAKI,273690-99999
SAKUN'JA,273730-99999
NOLINSK,273930-99999
TVER',274020-99999
STRIGINO,274590-99999
KOZ'MODEM'JANSK,274790-99999
JOSHKAR-OLA,274850-99999
SHEREMETYEVO,275155-99999
VNUKOVO,275185-99999
VLADIMIR,275320-99999
GUS'-HRUSTAL'NYJ,275390-99999
GOR'KIJ,275530-99999
SERGAC,275770-99999
KAZAN,275950-99999
BEGISHEVO,276070-99999
MOSKVA VDNH (DOLGOPRUDNYJ),276120-99999
KASIRA,276270-99999
ELAT'MA,276480-99999
ARZAMAS,276530-99999
LUKOJANOV,276650-99999
ALATYR',276790-99999
KALUGA,277030-99999
SUHINICHI,277070-99999
TULA,277190-99999
RJAZAN',277310-99999
TEMNIKOV,277520-99999
SARANSK AIRPORT,277600-99999
ULYANOVSK,277860-99999
PAVELETS,278230-99999
MORSANSK,278480-99999
ZAMETCHINO,278570-99999
OREL,279060-99999
ELEC,279280-99999
LIPETSK ARPT,279300-99999
TAMBOV,279470-99999
PENZA,279620-99999
VOSTOCHNY,279621-99999
CHEBOKSARY,279622-99999
SYZRAN',279830-99999
KIRS,280090-99999
SEROV,280440-99999
GARI,280490-99999
LEUSI,280640-99999
KONDINSKOJE,280660-99999
DEM'JANSKOE,280760-99999
LIMKOYEVSKIYE,280870-99999
TAUROVO,280970-99999
KUDYMKAR,281160-99999
KIZEL,281310-99999
VERHOTUR'E,281440-99999
KUMINSKAYA,281650-99999
UVAT,281720-99999
GLAZOV,282140-99999
VERESCAGINO,282160-99999
PERM',282240-99999
BOLSHOYE SAVINO,282250-99999
NIZHNYJ TAGIL,282400-99999
TURINSK,282550-99999
TOBOL'SK,282750-99999
VAGAY RIVER,282780-99999
NOZOVKA,283190-99999
OHANSK,283210-99999
SAMARY,283340-99999
JARKOVO,283660-99999
TYUMEN',283670-99999
UST'-ISIM,283820-99999
TEVRIZ,283830-99999
VASISS-IN-OM,283960-99999
IZHEVSK,284110-99999
JANAUL,284190-99999
CERNUSKA,284280-99999
KRASNOUFIMSK,284340-99999
KOLTSOVO,284400-99999
KAMYSLOV,284510-99999
JALTUROVOSK,284650-99999
VAGAJ,284690-99999
VIKULOVO,284810-99999
BOL'SIE UKI,284910-99999
TARA,284930-99999
YEMELYANOVO,284935-99999
KOLOSOVKA,284980-99999
VJATSKIE POLJANY,285020-99999
ELABUGA,285060-99999
ASKINO,285220-99999
DUVAN,285370-99999
VERHNIJ UFALEJ,285410-99999
SADRINSK,285520-99999
ISHIM,285730-99999
TJUKALINSK,285860-99999
NAZYVOEVSK,285880-99999
BOL'SHERECH'E,285930-99999
SARGATSKOE,285980-99999
BAKALY,286150-99999
BIRSK,286210-99999
KROPACEVO,286370-99999
BALANDINO,286420-99999
CHELYABINSK-GOROD,286450-99999
SUMIHA,286550-99999
KURGAN,286610-99999
MAKUSINO,286660-99999
ILINSKOYE-IN-TYUMEN,286730-99999
PETROPAVLOVSK,286790-99999
ISIL'KUL',286880-99999
KALACINSK,286960-99999
OMSK,286980-99999
BUGUL'MA,287110-99999
UFA,287220-99999
TROIZK,287480-99999
ZVERINOGOLOVSKOE,287560-99999
BLAGOVESHCHENKA,287660-99999
VOZVISHEN SOVKHOZ,287850-99999
POLTAVKA,319170-99999
SERBAKUL',287910-99999
ODESSKOE,287970-99999
CERLAK,287990-99999
BUGURUSLAN,288060-99999
STERLITAMAK,288250-99999
MAGNITOGORSK,288380-99999
SARYKOL,288670-99999
VOLODARSKOE,288770-99999
KOKSHETAY,288790-99999
KZIL-TUS SOVKHOZ,288860-99999
RUSSKAJA POLIANA,288950-99999
KURUMOCH,289000-99999
BUZULUK,289090-99999
MELEUZ,289250-99999
KOSTANAY,289520-99999
TOBOL,289570-99999
RUZAEVKA,289660-99999
BALKASINO,289780-99999
SUCINSK,289840-99999
NAPAS,290230-99999
BEREZOVKA,290370-99999
NAZIMOVO,290680-99999
CHIRIMBA-IN-KRASNOY,290750-99999
KATYLGA,291030-99999
SREDNY VASJUGAN,291110-99999
KARGASOK,291220-99999
PARABEL',291280-99999
STEPANOVKA,291490-99999
NOVYJ VASYUGAN,292030-99999
MAJSK,292090-99999
STARICA,292240-99999
KOLPASEVO,292310-99999
PALOCKA,292410-99999
BATURINO,292470-99999
LOSINOBORSKOE,292530-99999
JENISEJSK,292630-99999
STRELKA,292740-99999
MOTYGINO,292760-99999
BOGUCANY,292820-99999
GONDA,292890-99999
PUDINO,293130-99999
BAKCHAR,293280-99999
MOLCHANOVO,293320-99999
PERVOMAJSKOE,293480-99999
TUTALO-CULYM RIVER,293550-99999
CHINDAT-IN-KRASNOY,293560-99999
PIROVSKOE,293630-99999
NOVOBIRILYUSSY,293670-99999
TASEYEVO          &,293760-99999
TASEEVO,293790-99999
CHERVYANKA,293930-99999
SEDELNIKOVO,294010-99999
KYSTOVKA,294050-99999
MUROMCEVO,294070-99999
SEVERNOE,294180-99999
TOMSK,294300-99999
TJUHTET,294560-99999
ACHINSK,294670-99999
BOL'SHAJA MURTA,294710-99999
SUHOBUZIMSKOE,294770-99999
DZERZHINSKOE,294810-99999
DOLGIY MOST,294830-99999
KRESCHENKA,295240-99999
KOZEVNIKOVO,295320-99999
PIHTOVKA,295340-99999
BOLOTNOE,295390-99999
ANZERO-SUDZENSK,295400-99999
TAJGA,295410-99999
BARZAS,295480-99999
MARIINSK,295510-99999
BOGOTOL,295530-99999
TISUL',295570-99999
KEMCHUG,295620-99999
KRASNOJARSK,295740-99999
UJAR,295760-99999
SHALINSKOE,295780-99999
KANSK,295810-99999
KLYUCHI-IN-KRASNOY,295830-99999
IRBEJSKOE,295870-99999
NOVOCUNSKOE,295900-99999
TAJSHET,295940-99999
CHANY,296020-99999
TATARSK,296050-99999
BARABINSK,296120-99999
UBINSKOE,296130-99999
CULYM,296250-99999
KOCENEVO,296260-99999
KOLYVAN',296310-99999
TOLMACHEVO,296340-99999
TOGUCHIN,296360-99999
NOVOSIBIRSK (OGOURTSOVO),296380-99999
KEMEROVO,296420-99999
KRAPIVINO,296490-99999
UZUR,306370-99999
CENTRAL'NYJ RUDNIK,296540-99999
SVETLOLYUBOVO,296640-99999
KOLBA,296750-99999
AGINSKOE,308590-99999
NIZNE-UDINSK,296980-99999
LJUBIMOVKA,297010-99999
CISTOOZERNOJE,297020-99999
KUPINO,297060-99999
ZDVINSK,297120-99999
UZANIHA,297220-99999
KOCHKI,297240-99999
ORDYNSKOE,297260-99999
POSEVNAJA,297350-99999
MASLJANINO,297360-99999
BELOVO,297450-99999
SIRA,297560-99999
KOMMUNAR,297590-99999
IDRINSKOE,297660-99999
ARTEMOVSK,297720-99999
VERHNJAJA GUTARA,297890-99999
MIKHAILOVKA,298020-99999
ERTIS,298070-99999
KRASNOOZERSK,298130-99999
KARASUK,298140-99999
KAMEN'-NA-OBI,298220-99999
BAEVO,298270-99999
TALMENKA,298320-99999
SOROKINO,298360-99999
SELABOLIHA,298370-99999
BARNAUL,298380-99999
NOVOKUZNETSK,298460-99999
TOGUL,298480-99999
KUZEDEEVO,298490-99999
MEZDURECENSK,298540-99999
NEOZIDANNIJ PRIISK,298580-99999
UYBAT,298640-99999
ABAKAN,298650-99999
ERMAKOVSKOE,298690-99999
KURAGINO,298700-99999
KAZYR,298760-99999
HADAMA,298920-99999
ALYGDZER,298940-99999
REBRIHA,299230-99999
ZAVYALOVO-IN-ALTAY,299250-99999
ALEJSKAJA,299370-99999
BIJSK ZONAL'NAYA,299390-99999
KONDOMA,299460-99999
UST-KABIRZA,299550-99999
TASTYP,299560-99999
VERHNI AMIL,299730-99999
OLEN' YA RECHKA,299740-99999
ORLIK (MTN STN),299990-99999
CEMDALSK,300140-99999
IKA,300280-99999
NEPA,300370-99999
VITIM,300540-99999
MACHA,300740-99999
DZHIKIMDA,300890-99999
UST-ILIMSK,301170-99999
ICHERA,301360-99999
VORONCOVKA,301510-99999
MAMA,301570-99999
SVETLY,301650-99999
KIRENSK,302300-99999
GORNO-CUJSKI,302460-99999
MAMAKAN,302550-99999
BODAJBO,302530-99999
NICATKA,302630-99999
BRATSK,303090-99999
ZAJARSK,303170-99999
UST'-KUT,303200-99999
ORLINGA,303280-99999
KAZACHINSK,303370-99999
ULON-MAKIT,303560-99999
CHARA,303720-99999
KATUGINO,303790-99999
UST'-NJUKZHA,303850-99999
CULMAN/NERIUGRI,303930-99999
TANGUJ,304050-99999
JASACNAJA,304130-99999
GOLOVSKOE,304240-99999
GOUJOKIT,304320-99999
NIZHNEANGARSK,304330-99999
TOMPA,304390-99999
UAKIT,304550-99999
TILISMA,304610-99999
KALAKAN,304690-99999
NAGORNYJ,304930-99999
TYNDA,304990-99999
TULUN,305040-99999
IKEJ,305070-99999
ZHIGALOVO,305210-99999
TIRKA,305260-99999
DAVSA,305360-99999
SOLNETHNAYA,305370-99999
KURUMKAN,305470-99999
BAGDARIN,305540-99999
BUGARIHTA,305670-99999
ZIMA,306030-99999
BALAGANSK,306120-99999
CEREMHOVO,309440-99999
SARMA,306200-99999
KACUG,306220-99999
BAJANDAJ,306270-99999
BOLSOJ USKAN ISLAND,306320-99999
UST'-BARGUZIN,306350-99999
MAKSIMIHA,306380-99999
UST-ZAZA,306490-99999
ROMANOVKA,306500-99999
BOLSOJ AMALAT,306510-99999
TUNGOKOCEN,306640-99999
ZILOVO,306690-99999
MOGOCHA,306730-99999
KSEN'EVSKAJA,306750-99999
GORBICA,306790-99999
EROFEJ PAVLOVIC,306830-99999
IGNASINO,306860-99999
SKOVORODINO,306920-99999
INGA,307030-99999
IRKUTSK,307100-99999
USOL' E-SIBIRSKOE,307120-99999
SUHAJA,307260-99999
BOLSOJE-GOLOUSTNOJ,307270-99999
KABANSK,307290-99999
GORJACINSK,307310-99999
HORINSK,307390-99999
ZAMAKTA,307410-99999
SOSNOVO-OZERSKOE,307450-99999
TELEMBA,307510-99999
BEKLEMISEVO,307570-99999
KADALA,307580-99999
USUGLI,307640-99999
CHERNYSHEVSK,307660-99999
NERCINSK,307680-99999
UST'-KARA,307720-99999
SRETENSK,307770-99999
URJUPINO,307810-99999
MONDY,308020-99999
KYREN,308060-99999
TUNKA,308110-99999
SLJUDJANKA,308120-99999
KULTUK,308140-99999
HAMAR-DABAN,308150-99999
BABUSKIN,308220-99999
MUKHINO,308230-99999
TANHOJ,308240-99999
NOVOSELENGINSK,308290-99999
MUHORSIBIR,308370-99999
PETROVSKIJ ZAVOD,308380-99999
MOGZON,308430-99999
HILOK,308440-99999
ULETY,308460-99999
NIKOLAJEVSKOE,308490-99999
KARYMSKAJA,308530-99999
SEDLOVAJA,308560-99999
KUROT-DARASUA,308580-99999
SHILKA,308620-99999
