station_name,station_id
SALO KIIKALA AIRFIELD,027770-99999
SAVONLINNA PUNKAHARJU,027780-99999
STROMMINGSBADN,027810-99999
ALAJARVI MOKSY,027870-99999
KUOPIO MAANINKA,027880-99999
RAUTAVAARA YLA-LUOSTA,027890-99999
KUMLINGE KK,027900-99999
JUUKA NIEMELA,027910-99999
LIPERI TUISKAVANLUOTO,027930-99999
KIRKKONUMMI MAKILUOTO,027940-99999
LIEKSA LAMPELA,027960-99999
HAAPAVEST MUSTIKKAMAKI,027970-99999
VALTIMO KK,027980-99999
KUHMO KALLIOJOKI,027990-99999
RAAHE NAHKIAINEN,028000-99999
ENONTEKIO KILPISJARVI,028010-99999
SIIKAJOKI REVONLAHTI,028030-99999
TAIVALKOSKI KK URHEILUTIE,028040-99999
UTSJOKI KEVO,028050-99999
IVALO,028070-99999
ENONTEKIO,028075-99999
KUUSAMO KIUTAKONGAS,028110-99999
YLITORNIO MELTOSJARVI,028120-99999
ROVANIEMI APUKKA,028130-99999
KEMIJARVI AIRFIELD,028140-99999
SAVUKOSKI KK,028150-99999
SODANKYLA VUOTSO,028160-99999
SAARISELKA KAUNISPAA,028170-99999
INARI RAJAJOOSEPPI,028180-99999
SALLA VARRIOTUNTURI,028190-99999
MUONIO LAUKUKERO,028200-99999
MUONIO SAMMALTUNTURI,028210-99999
MUONIO ALAMUONIO,028230-99999
KITTILA KENTTAROVA,028240-99999
UTSJOKI NUORGAM,028250-99999
INARI VAYLA,028270-99999
KAARINA YLTOINEN,028280-99999
HYVINKAA HYVINKAANKYLA,028290-99999
KOUVOLA ANJALA,028300-99999
VIROLAHTI KOIVUNIEMI,028310-99999
TOHMAJARVI KEMIE,028320-99999
SEINAJOKI PELMAA,028330-99999
VIEREMA KAARAKKALA,028340-99999
INARI NELLIM,028350-99999
SODANKYLA,028360-99999
PELLO CENTRE,028440-99999
ROVANIEMI,028450-99999
ROVANIEMI RAUTATIEASEMA,028470-99999
SALLA,028480-99999
SALLA KK MYLLYTIE,028490-99999
KEMI AJOS,028620-99999
KEMI I LIGHTHOUSE,028630-99999
KEMI TORNIO,028640-99999
PUDASJARVI,028670-99999
KUUSAMO RUKATUNTURI,028680-99999
KUUSAMO,028690-99999
RAAHE LAPALUOTO HARBOUR,028720-99999
HAILUOTO MARJANIEMI,028730-99999
HAILUOTO ISLAND,028740-99999
OULU,028750-99999
OULU VIHREASAARI HARBOUR,028760-99999
SUOMUSSALMI,028790-99999
SUOMUSSALMI PESIO,028890-99999
KAJAANI,028970-99999
MASSKAR,029010-99999
KRUUNUPYY,029030-99999
NIVALA,029050-99999
KALAJOKI ULKOKALLA,029070-99999
MUSTASAARI VALASSAARET,029100-99999
VAASA,029110-99999
KAUHAVA,029130-99999
VIITASAARI,029150-99999
KUOPIO,029170-99999
LAPPEENRANTA HIEKKAPAKKA,029190-99999
PIETARSAARI KALLAN,029200-99999
MOIKIPAA,029210-99999
AHTARI MYLLYMAKI,029240-99999
SEINAJOKI,029245-99999
JOENSUU,029290-99999
JYVASKYLA,029350-99999
ILOMANTSI MEKRIJARVI,029390-99999
KANKAANPAA NIINISALO PUOLVOIM,029420-99999
TAMPERE SIILINKARI,029430-99999
TAMPERE PIRKKALA,029440-99999
HALLI,029450-99999
MIKKELI,029470-99999
SAVONLINNA,029480-99999
SOMERO SALKOLA,029490-99999
PARAINEN FAGERHOLM,029500-99999
PORI,029520-99999
LAPPEENRANTA,029580-99999
KUUSKAJASKARI,029610-99999
JOKIOINEN,029630-99999
KUSTAVI ISOKARI,029640-99999
LAHTI LAUNE,029650-99999
UTTI,029660-99999
KOTKA HAAPASAARI,029670-99999
MARIEHAMN,029700-99999
TURKU,029720-99999
SUOMUSJARVI,029730-99999
HELSINKI VANTAA,029740-99999
HELSINKI MALMI,029750-99999
KOTKA RANKKI,029760-99999
KOKAR BOGSKAR,029790-99999
LEMLAND NYHAMN,029800-99999
PARAINEN UTO,029810-99999
HANKO RUSSARO,029820-99999
INKOO BAGASKAR,029840-99999
PORVOO KALLBADAGRUND,029870-99999
PORVOO EMASALO,029910-99999
LOVIISA ORRENGRUND,029920-99999
HAMMARLAND MARKET,029930-99999
BALTASOUND NO.2,030020-99999
SUMBURGH,030030-99999
LERWICK,030050-99999
SELLA NESS,030060-99999
SCATSTA,030064-99999
MUCKLE HOLM,030070-99999
FAIR ISLE,030080-99999
NORTH RONALDSAY ISL,030090-99999
SULE SKERRY,030100-99999
KIRKWALL,030170-99999
BENBECULA,030220-99999
SOUTH UIST RANGE,030230-99999
STORNOWAY,030260-99999
ARDNAMURCHAN(LGT-H),030290-99999
LOCH GLASCARNOCH,030310-99999
AULTBEA NO2,030340-99999
SKYE/LUSA,030370-99999
BEALACH NA BA NO2,030390-99999
AONACH MOR,030410-99999
ALTNAHARRA NO2,030440-99999
TULLOCH BRIDGE,030470-99999
CAPE WRATH (LGT-H),030490-99999
FOYERS,030570-99999
INVERNESS,030590-99999
TAIN RANGE (SAWS),030620-99999
AVIEMORE,030630-99999
CAIRNGORM SUMMIT,030650-99999
KINLOSS,030660-99999
LOSSIEMOUTH,030680-99999
GLENLIVET,030700-99999
CAIRNWELL,030720-99999
WICK,030750-99999
ABOYNE NO2,030800-99999
INVERBERVIE NO.2,030880-99999
DYCE,030910-99999
PETERHEAD HARBOUR,030920-99999
TIREE,031000-99999
ISLAY: PORT ELLEN,031050-99999
MACHRIHANISH,031110-99999
OBAN,031140-99999
CORSEWALL PT. (LH),031180-99999
MULL OF GALLOWAY LH,031310-99999
WEST FREUGH (AUT),031320-99999
GLASGOW BISHOPTON,031340-99999
PRESTWICK,031350-99999
CAMPBELTOWN,031394-99999
GLASGOW,031400-99999
STRATHALLEN AIRFIELD,031440-99999
GLEN OGLE,031480-99999
SALSBURGH,031520-99999
DUNDRENNAN,031530-99999
DUMFRIES/DRUNGANS,031540-99999
DRUMALBIN,031550-99999
CHARTERHALL,031580-99999
EDINBURGH,031600-99999
EDDLESTON,031610-99999
ESKDALEMUIR,031620-99999
DUNDEE,031634-99999
SPADEADAM,031650-99999
LEUCHARS,031710-99999
FIFE NESS,031740-99999
ST. ABB'S HEAD (LH),031850-99999
ISLE OF MAN,032040-99999
