date,BTC,ETH,BTC Volume in USD,ETH Volume in USD
2016-03-19 04:00:00,409.99,,249943.82260865349,
2016-03-20 04:00:00,408.69,,99677.38670750232,
2016-03-21 04:00:00,414.35,,357623.2362860872,
2016-03-22 04:00:00,416.99,,356210.3534184176,
2016-03-23 04:00:00,416.85,,330148.8278334614,
2016-03-24 04:00:00,414.39,,445570.0978234427,
2016-03-25 04:00:00,416.9,,355127.7054860215,
2016-03-26 04:00:00,416.66,,192805.5900736998,
2016-03-27 04:00:00,422.89,,780606.4974345742,
2016-03-28 04:00:00,423.74,,378388.1681038388,
2016-03-29 04:00:00,414.38,,593367.1303788995,
2016-03-30 04:00:00,414.99,,314166.96769683075,
2016-03-31 04:00:00,416.43,,452668.99775939103,
2016-04-01 04:00:00,420.25,,560070.2655479176,
2016-04-02 04:00:00,419.99,,81392.80162470965,
2016-04-03 04:00:00,419.45,,43802.838820533,
2016-04-04 04:00:00,422.83,,381867.1202199367,
2016-04-05 04:00:00,422.48,,372782.2863666003,
2016-04-06 04:00:00,422.3,,542826.380215248,
2016-04-07 04:00:00,422.56,,436987.445522456,
2016-04-08 04:00:00,414.56,,1221489.9166463024,
2016-04-09 04:00:00,417.12,,150412.37459356943,
2016-04-10 04:00:00,420.72,,174835.7985637385,
2016-04-11 04:00:00,424.99,,520068.49928495055,
2016-04-12 04:00:00,426.69,,626917.5459360594,
2016-04-13 04:00:00,425.29,,859940.1579488867,
2016-04-14 04:00:00,425.96,,420179.0578168056,
2016-04-15 04:00:00,429.52,,612719.7650858647,
2016-04-16 04:00:00,430.09,,268077.0177673169,
2016-04-17 04:00:00,427.91,,123435.9132588228,
2016-04-18 04:00:00,427.98,,455650.4237482807,
2016-04-19 04:00:00,435.47,,609150.8580655373,
2016-04-20 04:00:00,443.98,,836262.7402524154,
2016-04-21 04:00:00,446.35,,965512.2840634246,
2016-04-22 04:00:00,448.33,,462252.2190533414,
2016-04-23 04:00:00,455.32,,617226.5933520276,
2016-04-24 04:00:00,459.13,,518024.3276822992,
2016-04-25 04:00:00,465.2,,1282549.879142736,
2016-04-26 04:00:00,468.44,,534552.3497714512,
2016-04-27 04:00:00,442.23,,1169348.9865531914,
2016-04-28 04:00:00,448.98,,722263.6582961982,
2016-04-29 04:00:00,455.83,,667383.4202983542,
2016-04-30 04:00:00,449.14,,106870.86075454044,
2016-05-01 04:00:00,453.38,,229719.5470554376,
2016-05-02 04:00:00,443.7,,786727.187445087,
2016-05-03 04:00:00,451.99,,502101.130865334,
2016-05-04 04:00:00,448.0,,588724.0133465601,
2016-05-05 04:00:00,448.46,,339520.44112220645,
2016-05-06 04:00:00,459.36,,456272.4121394314,
2016-05-07 04:00:00,458.47,,218284.63518706,
2016-05-08 04:00:00,458.0,,60796.186994712,
2016-05-09 04:00:00,462.98,9.36,593619.0017318722,12885.1142197752
2016-05-10 04:00:00,452.21,9.74,576444.3865467375,7447.4795443078
2016-05-11 04:00:00,452.99,10.45,629594.8632444546,32181.10314045
2016-05-12 04:00:00,455.79,10.4,622377.4488846165,21434.52589772
2016-05-13 04:00:00,457.48,10.5,510856.5317016961,18774.45233202
2016-05-14 04:00:00,456.74,10.57,126648.80805274608,9836.2375243013
2016-05-15 04:00:00,457.99,10.06,121406.71012225392,9944.6316721216
2016-05-16 04:00:00,453.99,11.33,513948.4698325681,42204.7946855579
2016-05-17 04:00:00,454.99,13.04,540010.1241131752,106106.58738609518
2016-05-18 04:00:00,454.43,13.87,691122.9383692929,76721.7037872165
2016-05-19 04:00:00,439.65,14.56,652037.0185958309,125676.3891807424
2016-05-20 04:00:00,443.46,13.29,468606.3439606266,129843.26337953788
2016-05-21 04:00:00,440.94,14.14,437851.3024786884,32526.43310888721
2016-05-22 04:00:00,438.62,14.33,140002.60328207244,41146.5687345608
2016-05-23 04:00:00,443.33,13.56,633737.6522613859,75628.7634066672
2016-05-24 04:00:00,446.99,12.69,571069.9976994046,97412.6565753336
2016-05-25 04:00:00,449.99,12.9,330128.4549910313,153877.00639964998
2016-05-26 04:00:00,471.72,11.75,785559.0037229892,81585.219967295
2016-05-27 04:00:00,491.83,10.41,743013.1428300452,92503.7827913451
2016-05-28 04:00:00,515.51,12.06,913700.9110904054,144318.383100774
2016-05-29 04:00:00,527.98,12.43,342003.9771621286,87272.0470695854
2016-05-30 04:00:00,530.0,12.61,215816.91340465,104112.2404163075
2016-05-31 04:00:00,526.86,14.13,739804.8049607035,193683.342052656
2016-06-01 04:00:00,536.77,13.85,1184731.0683749786,79971.6629062525
2016-06-02 04:00:00,536.83,13.84,722245.0512678849,31618.8672013304
2016-06-03 04:00:00,572.3,13.91,1219795.556533328,167685.796168566
2016-06-04 04:00:00,580.0,13.74,422742.90618366,33988.9866417828
2016-06-05 04:00:00,579.61,13.92,205048.1064866326,9668.6029896912
2016-06-06 04:00:00,586.1,13.96,867696.8816741761,59571.747622283205
2016-06-07 04:00:00,577.73,14.65,519130.2598403944,160336.990273075
2016-06-08 04:00:00,580.15,14.49,926427.0307278648,126652.23418379488
2016-06-09 04:00:00,576.68,14.38,583707.4858455984,33888.1252169462
2016-06-10 04:00:00,583.45,13.95,777780.5169708946,27766.096657416
2016-06-11 04:00:00,632.51,14.3,910217.0770499582,56867.618410031
2016-06-12 04:00:00,680.73,15.81,1302679.023430796,321398.199181701
2016-06-13 04:00:00,694.53,17.95,2526024.775881779,280214.04711798
2016-06-14 04:00:00,674.68,18.58,3348315.010455122,295100.195852956
2016-06-15 04:00:00,730.0,18.99,2027646.7431955,124572.1902727068
2016-06-16 04:00:00,774.32,21.09,4120421.201447066,572154.5681016031
2016-06-17 04:00:00,740.65,14.31,2322503.13819072,842838.328649772
2016-06-18 04:00:00,752.51,12.51,1208986.1962512168,484341.271064973
2016-06-19 04:00:00,760.21,12.46,534513.8749753454,144739.40569222398
2016-06-20 04:00:00,699.0,12.3,1570616.3058971402,603872.41083543
2016-06-21 04:00:00,657.2,14.96,1936663.281326612,216211.908594528
2016-06-22 04:00:00,586.75,13.16,1926475.245423908,434551.872139952
2016-06-23 04:00:00,653.5,13.36,2286401.69652511,56526.8478106088
2016-06-24 04:00:00,696.98,14.5,1078802.1031548209,96828.337223045
2016-06-25 04:00:00,665.01,14.33,255467.66107325064,4114.8146483897
2016-06-26 04:00:00,649.13,14.0,562322.0881550441,15370.0285858
2016-06-27 04:00:00,657.09,14.02,1066565.6338578446,56378.0236886026
2016-06-28 04:00:00,640.25,12.14,810973.7629809075,250419.761980802
2016-06-29 04:00:00,638.47,12.83,1008283.2893952568,58137.6079663849
2016-06-30 04:00:00,687.96,12.39,1553037.657540642,36146.7551273409
2016-07-01 04:00:00,679.52,12.05,1150390.3774773504,60291.1985295755
2016-07-02 04:00:00,692.11,12.03,647181.6498661139,22356.805620069
2016-07-03 04:00:00,670.0,11.78,375032.18100563,47098.25340895919
2016-07-04 04:00:00,679.89,11.46,603885.7258961541,14437.0310802162
2016-07-05 04:00:00,677.0,11.45,900698.39009157,151698.66629090998
2016-07-06 04:00:00,673.12,10.36,542691.7397807383,39045.8483737448
2016-07-07 04:00:00,641.78,10.33,1322394.6078813935,28010.2765108438
2016-07-08 04:00:00,656.81,11.4,595291.9342070954,68838.591106398
2016-07-09 04:00:00,650.27,11.0,902812.9411101892,16478.53449825
2016-07-10 04:00:00,656.67,11.09,290581.5787961841,15713.9188338706
2016-07-11 04:00:00,650.03,10.7,608835.8153281851,47413.700356761
2016-07-12 04:00:00,664.73,10.76,1249801.6250368298,21030.1700184076
2016-07-13 04:00:00,652.38,11.1,993890.0142734592,17945.600084352
2016-07-14 04:00:00,663.99,12.0,933664.7323810224,42170.30156364
2016-07-15 04:00:00,667.74,12.0,510390.9921567963,31328.4131604
2016-07-16 04:00:00,666.54,11.62,180016.23496753513,30877.2486773814
2016-07-17 04:00:00,682.02,11.52,934195.0722606288,8308.917010368
2016-07-18 04:00:00,673.42,11.2,581064.1910946578,14365.94585832
2016-07-19 04:00:00,672.99,12.33,483031.8173743158,75173.7269360178
2016-07-20 04:00:00,660.02,12.61,1416815.4335362315,75595.35440562949
2016-07-21 04:00:00,665.99,13.08,459897.0997914956,84651.2017120992
2016-07-22 04:00:00,652.85,15.5,555948.9807307117,194392.75194005
2016-07-23 04:00:00,655.47,14.21,183737.47002481017,44819.2106987086
2016-07-24 04:00:00,662.1,13.35,271357.6713617178,95723.9481168045
2016-07-25 04:00:00,656.72,14.15,522408.92151148646,61539.766732526
2016-07-26 04:00:00,652.72,12.13,834960.2974764311,196987.43737104005
2016-07-27 04:00:00,657.99,13.01,468649.7299942861,47726.1573996858
2016-07-28 04:00:00,657.41,13.14,393249.4718322604,23044.5737456526
2016-07-29 04:00:00,657.98,12.87,675102.3333523767,10154.4531755238
2016-07-30 04:00:00,637.4,12.5,181580.4862063964,17116.36533875
2016-07-31 04:00:00,619.85,11.81,436789.0748858329,25373.2504668814
2016-08-01 04:00:00,603.64,11.01,875568.3294651075,61193.6784159678
2016-08-02 04:00:00,545.99,9.53,2108175.5778311417,186738.20989650296
2016-08-03 04:00:00,590.0,10.52,880586.6008868001,120016.284490136
2016-08-04 04:00:00,581.0,11.2,647522.2963076701,25635.858985184
2016-08-05 04:00:00,576.17,11.0,839573.3804217683,13354.13796134
2016-08-06 04:00:00,591.49,10.99,366119.17677903175,7423.6212535891
2016-08-07 04:00:00,589.91,11.11,271548.4817102943,11143.55144452
